component_id	num_nodes	num_edges	unique_genes	node_ids	frac_telomeric	frac_pericentromeric	frac_acrocentric	frac_any_category	avg_num_edges	max_num_edges	density	avg_clustering	diameter	radius	is_tree	is_bipartite
31	16	15	AC069287.1;AC138035.2;CICP16;CICP18;CICP26;CICP4;CICP5;CICP6;CICP7;FAM157C;LINC00266-2P;LINC00266-4P;SEPTIN14;SEPTIN14P19;SEPTIN14P21;SEPTIN14P8	chr11:144594-150267;chr16:96263159-96268836;chr19:139601-145275;chr1:143704-149381;chr1:223132474-223138170;chr1:227166450-227172131;chr1:242455885-242461570;chr20:66112686-66118371;chr3:200957231-200962905;chr4:121943307-121948980;chr5:181894446-181900122;chr7:55953334-55959047;chr7:56382-62052;chr9:150555884-150561560;chrY:24576498-24582202;chrY:26196448-26202151	0.0	0.0	0.0	0.0	1.88	15	0.125	0.0	2	1	True	True
32	4	3	CICP18;SEPTIN14P19;SEPTIN14P24;SEPTIN14P8	chr19:139601-152371;chr1:143704-154585;chr7:56382-68382;chr7:56516005-56529837	0.0	0.0	0.0	0.0	1.5	3	0.5	0.0	2	1	True	True
33	2	1	CICP18;SEPTIN7P2	chr1:143704-210442;chr7:45925574-45985683	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
34	6	5	AC138035.2;CICP18;FAM157C;FO082796.1;LINC01881;SEPTIN14P1	chr16:96264940-96268593;chr1:143947-147600;chr2:242631066-242634702;chr5:181896227-181899880;chr7:64313725-64317582;chr9:150557665-150561317	0.0	0.0	0.0	0.0	1.67	5	0.3333	0.0	2	1	True	True
35	6	5	AC069287.1;CICP18;CICP27;CICP5;LINC00265;SEPTIN14P21	chr11:148588-185123;chr1:147702-190755;chr1:223136478-223172008;chr1:242459874-242498221;chr7:39919853-39957186;chr7:60373-97571	0.0	0.0	0.0	0.0	1.67	5	0.3333	0.0	2	1	True	True
36	2	1	AC012441.2;CICP18	chr1:147721-178735;chr7:51542320-51572116	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
37	7	6	AC069287.1;AC108010.1;CICP18;CICP27;FAM157A;FAM157C;SEPTIN14P19	chr11:149177-195840;chr16:96216095-96264249;chr19:144185-191123;chr1:148291-201438;chr3:200911352-200958321;chr7:129929758-129971890;chr7:60962-108304	0.0	0.0	0.0	0.0	1.71	6	0.2857	0.0	2	1	True	True
38	7	6	AC069287.1;CICP13;CICP18;FAM157A;FAM157B;FAM157C;SEPTIN14P19	chr11:149491-196215;chr16:96215719-96263935;chr19:144499-191568;chr1:148605-201811;chr1:221702058-221754565;chr3:200910977-200958007;chr9:150505523-150556660	0.0	0.0	0.0	0.0	1.71	6	0.2857	0.0	2	1	True	True
39	2	1	CICP18;GTF2IP12	chr1:149808-210442;chr4:122708176-122765064	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
40	2	1	AC091812.2;AL669831.1	chr1:152723-194774;chr7:56604294-56644603	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
41	2	1	AL669831.1	chr1:156081-164282;chr1:159490-167643	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
42	3	2	AL627309.2;AL669831.1	chr1:159490-161649;chr1:162896-165058;chr1:227154664-227156839	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
43	11	10	AC110079.1;AL133216.2;AL669831.1;AL669831.2;FAM157A;GTF2IP12;GTF2IP13;LINC01347;unknown	chr10:38463606-38465881;chr11:50288775-50290156;chr19:176205-178484;chr1:186579-188858;chr1:221739275-221741550;chr1:242494050-242496324;chr3:200924004-200926285;chr4:121907687-121909966;chr4:122740989-122743263;chr5:181858048-181860328;chr7:45947247-45949556	0.0	0.0	0.0	0.0	1.82	10	0.1818	0.0	2	1	True	True
44	6	5	AC018638.8;AL133216.2;AL669831.1;GTF2IP12;GTF2IP13;GTF2IP20	chr10:38448676-38460619;chr1:191864-203711;chr1:223173120-223180874;chr20:55551-67455;chr4:122746250-122758242;chr7:45932320-45944311	0.0	0.0	0.0	0.0	1.67	5	0.3333	0.0	2	1	True	True
45	4	3	AC122133.1;AL669831.6;SEPTIN7P4;SEPTIN7P5	chr1:207483-210034;chr7:57316390-57318936;chr7:64445458-64448004;chr7:64695499-64698047	0.0	0.0	0.0	0.0	1.5	3	0.5	0.0	2	1	True	True
46	2	1	AL669831.6;SEPTIN7	chr1:207483-210445;chr7:36003546-36006509	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
47	2	1	FBXO25;LINC01409	chr1:220572-246299;chr8:221383-247186	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
48	2	1	AL669831.4;LINC01881	chr1:233889-246299;chr2:242617048-242629535	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
49	2	1	AL669831.4;FAM87A	chr1:246307-250425;chr8:171212-175422	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
50	2	1	LINC01128;MSTRG.5331	chr1:252622-258382;chr8:27299-33053	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
51	2	1	AL031259.1;LINC01128	chr1:256635-258382;chr6:171984508-171986259	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
52	2	1	AC136777.1;LINC01128	chr1:258382-296162;chr8:87303-127158	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
53	2	1	AC144568.1;AL669831.7	chr1:296166-297979;chr21:45066908-45068722	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
54	4	3	AC131281.1;AL669831.7;DUX4	chr10:134735129-134737482;chr18:254805-257163;chr1:296166-298518;chr4:193552206-193554554	0.0	0.0	0.0	0.0	1.5	3	0.5	0.0	2	1	True	True
55	10	9	AC144568.1;AL669831.7;CENPBD1P1;LINC02193;RPL23AP7;RPL23AP82;unknown	chr15:23544-25156;chr16:96309487-96311843;chr19:61685724-61688066;chr1:296166-298520;chr21:20484-22096;chr22:22049-23657;chr22:51301392-51303735;chr2:114045401-114047743;chr2:242676076-242678432;chr4:23498-25110	0.0	0.0	0.0	0.0	1.8	9	0.2	0.0	2	1	True	True
56	2	1	AL669831.7;unknown	chr1:296294-298520;chr6:6432-8647	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
57	2	1	AC131281.1;AL669831.7	chr1:248366409-248368552;chr1:296366-298520	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
58	8	7	AC069287.3;AC131281.1;AC144568.1;AL669831.7;FAM157A;FAM157B;FAM157C	chr11:198131-199932;chr16:96212016-96213813;chr19:193483-195282;chr1:296702-298520;chr20:67467-69264;chr3:200907257-200909058;chr7:110589-112386;chr9:150501809-150503606	0.0	0.0	0.0	0.0	1.75	7	0.25	0.0	2	1	True	True
59	2	1	AL669831.7;unknown	chr1:296899-298518;chr2:6765-8674	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
60	6	5	AC215217.1;FAM41C;LINC02564	chr10:4087-9516;chr18:111285-116712;chr18:165179-170606;chr18:3211-8641;chr18:57229-62656;chr1:298516-301495	0.0	0.0	0.0	0.0	1.67	5	0.3333	0.0	2	1	True	True
61	4	3	AC215217.1;FAM41C	chr14:13082224-13084558;chr1:299167-301482;chr22:16079907-16082241;chr2:132240251-132242585	0.0	0.0	0.0	0.0	1.5	3	0.5	0.0	2	1	True	True
62	2	1	FAM41C;TUBB8P7	chr16:96181196-96183238;chr1:301934-304080	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
63	2	1	FAM41C;TUBB8P5	chr12:38152151-38155688;chr1:301934-307112	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
64	2	1	FAM41C;TUBBP5	chr1:301934-317363;chr9:150441458-150459227	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
65	6	5	AL713922.1;AP001005.1;FAM41C	chr10:20200-41304;chr18:127433-148540;chr18:181328-202462;chr18:19361-40478;chr18:73377-94494;chr1:302041-317363	0.0	0.0	0.0	0.0	1.67	5	0.3333	0.0	2	1	True	True
66	2	1	FAM41C;TUBB8P8	chr1:302176-317363;chr3:200849287-200864317	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
67	8	7	unknown	chr13:11664754-11676859;chr14:7674807-7686932;chr14:9918358-9930442;chr15:14605620-14617684;chr1:309177-320879;chr20:30980546-30992732;chr21:8726299-8738444;chr22:12615976-12628057	0.0	0.0	0.0	0.0	1.75	7	0.25	0.0	2	1	True	True
68	3	2	unknown	chr1:309179-319389;chr22:10293551-10303999;chr22:8919910-8930366	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
69	6	5	unknown	chr14:9608920-9619229;chr15:15028068-15038408;chr1:309179-320879;chr20:29660132-29672289;chr20:31415423-31427603;chr22:12370258-12380572	0.0	0.0	0.0	0.0	1.67	5	0.3333	0.0	2	1	True	True
70	2	1	unknown	chr1:309340-320879;chrY:10453417-10465218	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
71	3	2	unknown	chr1:320879-328528;chr21:386359-394761;chr22:9100248-9108630	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
72	2	1	unknown	chr14:4039701-4047560;chr1:320879-328541	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
73	2	1	unknown	chr1:320879-328621;chr21:6521155-6529667	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
74	2	1	PERM1	chr1:405368-407669;chr1:405929-408254	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
75	2	1	PERM1	chr1:405395-406886;chr1:406177-408090	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
76	2	1	AGRN	chr1:459773-460982;chr1:460481-461456	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
77	2	1	unknown	chr1:505923-507077;chr1:506731-507767	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
78	2	1	unknown	chr1:505945-507230;chr1:506453-507800	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
79	2	1	LINC01342	chr1:567686-568750;chr1:568295-569360	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
80	2	1	unknown	chr1:676952-677960;chr1:677676-678686	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
81	2	1	SCNN1D	chr1:717376-721103;chr1:717962-721779	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
82	2	1	unknown	chr1:812763-813995;chr1:813533-814848	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
83	2	1	unknown	chr1:812763-814296;chr1:813301-814840	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
84	2	1	AL645728.2;ATAD3C	chr1:900919-924969;chr1:941879-962405	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
85	2	1	AL645728.2;ATAD3B	chr1:927663-930225;chr1:941598-943943	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
86	2	1	AL645728.2;ATAD3A	chr1:937742-938786;chr1:950167-951213	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
87	2	1	AL645728.2;ATAD3A	chr1:941839-943943;chr1:966431-968666	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
88	2	1	MMP23A;MMP23B	chr1:1066947-1134015;chr1:1134016-1186611	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
89	2	1	CDK11A;CDK11B	chr1:1072611-1112190;chr1:1139698-1174959	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
90	2	1	PRKCZ	chr1:1556707-1558347;chr1:1557163-1559220	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
91	2	1	SKI	chr1:1715976-1717621;chr1:1716624-1718464	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
92	2	1	SKI	chr1:1716933-1717924;chr1:1717193-1718464	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
93	3	2	PLCH2	chr1:1879925-1881305;chr1:1880473-1881923;chr1:1880610-1881923	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
94	2	1	TTC34	chr1:2093603-2102265;chr1:2096291-2104071	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
95	2	1	AC242022.2	chr1:2263509-2272678;chr1:2267748-2276959	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
96	2	1	unknown	chr1:2348549-2349568;chr1:2349089-2350389	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
97	3	2	MEGF6	chr1:3091719-3093289;chr1:3092385-3093829;chr1:3092493-3093829	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
98	2	1	TP73	chr1:3203513-3206003;chr1:3204283-3206531	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
99	2	1	unknown	chr1:3555137-3557184;chr1:98204696-98206712	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
100	3	2	unknown	chr1:3588158-3589475;chr1:3588680-3590171;chr1:3588796-3590171	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
101	2	1	unknown	chr1:3647091-3647716;chr1:3647629-3648632	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
102	3	2	AL365255.1;unknown	chr1:5177372-5179517;chr22:10293551-10295539;chr22:8919910-8921898	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
103	2	1	AL365255.1;unknown	chr1:5188582-5198659;chr22:9259842-9270343	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
104	2	1	AL365255.1;unknown	chr14:4423640-4434079;chr1:5188627-5198659	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
105	2	1	RPL22;RPL22P11	chr1:5710674-5712473;chr2:110196587-110198370	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
106	2	1	RPL22;RPL22P8	chr1:5710675-5712479;chr2:108376682-108378767	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
107	2	1	RPL22;RPL22P10	chr1:5710676-5712464;chr2:106708546-106710614	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
108	2	1	ESPN;ESPNP	chr1:16404656-16436368;chr1:5953290-5985059	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
109	2	1	AC092506.1;THAP3	chr1:104115576-104116441;chr1:6158052-6159225	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
110	2	1	AC025884.1;RERE	chr15:19187913-19200823;chr1:8144000-8159201	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
111	3	2	PPP1R12BP1;RERE;REREP1Y	chr1:8146429-8159201;chrY:25389073-25401777;chrY:27008495-27021200	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
112	2	1	AC025884.1;RERE	chr15:19181815-19187817;chr1:8187253-8193297	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
113	3	2	PPP1R12BP1;RERE;unknown	chr1:8187264-8189229;chrY:25401889-25403943;chrY:27021312-27023366	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
114	3	2	FAM151B;RPL7P10;RPL7P7	chr1:80936060-80936896;chr1:8319572-8320403;chr5:80984317-80985477	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
115	2	1	RPL7P15;RPL7P7	chr1:8319576-8320377;chr3:126878042-126879214	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
116	2	1	HMGN2P15;HMGN2P17	chr17:43609853-43611235;chr1:8426622-8428083	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
117	2	1	HMGN2P17;RPL12P38	chr17:61303265-61304494;chr1:8426853-8428086	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
118	2	1	HMGN2P17;HMGN2P23	chr1:8426854-8428082;chr2:113406864-113408079	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
119	3	2	HMGN2P17;HMGN2P19;HMGN2P41	chr16:38325269-38326473;chr1:228949168-228950389;chr1:8426864-8428075	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
120	2	1	HMGN2P17;unknown	chr1:8426867-8428086;chr6:122595490-122597009	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
121	2	1	HMGN2P11;HMGN2P17	chr1:8426868-8428080;chr7:86126371-86127558	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
122	2	1	HMGN2P13;HMGN2P17	chr1:8426868-8428084;chr3:155837740-155838945	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
123	2	1	HMGN2P17;HMGN2P6	chr14:19464452-19465662;chr1:8426868-8428090	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
124	2	1	HMGN2P17;HMGN2P5	chr1:8426869-8428074;chr6:108107050-108108224	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
125	2	1	AC087482.1;HMGN2P17	chr15:64821865-64823064;chr1:8426869-8428075	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
126	2	1	HMGN2P17;HMGN2P22	chr1:8426869-8428078;chr2:101048630-101050149	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
127	2	1	HMGN2P17;HMGN2P7	chr1:8426870-8428079;chr3:15376649-15378163	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
128	2	1	HMGN2P17;HMGN2P24	chr1:8426871-8428078;chr3:40713278-40714479	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
129	2	1	AL160236.1;HMGN2P17	chr14:55177980-55179104;chr1:8426871-8428083	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
130	2	1	HMGN2P10;HMGN2P17	chr1:8426873-8428093;chr22:42187336-42188529	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
131	2	1	HMGN2P17;HMGN2P4	chr1:8426874-8428084;chr5:76722712-76723924	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
132	2	1	HMGN2P17;HMGN2P3	chr16:26308089-26309303;chr1:8426874-8428088	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
133	2	1	AC022404.1;HMGN2P17	chr14:75034563-75035764;chr1:8426874-8428097	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
134	2	1	AL078601.1;HMGN2P17	chr1:8426877-8428078;chr6:80531318-80532483	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
135	2	1	HMGN2P17;HMGN2P31	chr1:8426956-8428080;chr9:5316517-5317826	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
136	2	1	MZT1;MZT1P1	chr13:71930929-71931892;chr1:9324000-9325236	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
137	2	1	AC011978.1;TARDBP	chr1:10563391-10565312;chr8:63559555-63562083	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
138	3	2	DISP3	chr1:11065477-11066382;chr1:11065477-11066778;chr1:11066247-11067317	0.0	0.0	0.0	0.0	1.33	2	0.6667	0.0	2	1	True	True
139	2	1	MFN2;unknown	chr1:11537372-11538443;chr9:34940294-34941070	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
140	2	1	MFN2;YWHAZ	chr1:11537387-11538442;chr8:102045387-102046145	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
141	2	1	MFN2;unknown	chr1:11537387-11538443;chr2:126993492-126994250	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
142	2	1	MFN2;unknown	chr10:23156900-23157639;chr1:11537397-11538442	0.0	0.0	0.0	0.0	1.0	1	1.0	0.0	1	1	True	True
